[2021-10-23 13:30:21.510] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:30:21.511] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:30:21.513] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:30:21.513] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:30:21.514] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:30:21.515] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:30:21.516] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:30:21.517] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:30:40.935] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:30:40.935] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/settings.json'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/tasks.json'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
[2021-10-23 13:30:40.936] [main] [error] [File Watcher (node.js)] Error: EACCES: permission denied, stat '/root/.vscode/launch.json'
